0.01,0.0,0.0,0.0,0.02,0.02,0.08,0.15,0.03,0.14,0.33,0.0,0.0,0.5,0.17,0.0,0.0,0.62,0.0,attack
0.0,0.0,0.0,0.17,0.02,0.02,0.04,0.15,0.03,0.14,0.33,0.0,0.0,0.5,0.17,0.5,0.0,0.62,0.0,normal
0.0,0.0,0.0,0.17,0.02,0.02,0.12,0.15,0.03,0.14,0.33,0.0,0.0,0.5,0.17,0.5,0.0,0.62,0.0,normal
0.0,0.0,0.0,0.5,0.02,0.02,0.35,0.15,0.03,0.14,0.33,0.0,0.0,0.5,0.17,0.5,0.0,0.62,0.0,normal
0.01,0.0,0.0,0.67,0.02,0.02,0.12,0.15,0.03,0.14,0.33,0.0,0.0,0.5,0.17,0.5,0.0,0.62,0.0,normal
0.01,0.0,0.0,0.67,0.02,0.02,0.04,0.15,0.03,0.14,0.33,0.0,0.0,0.5,0.17,0.5,0.0,0.62,0.0,normal
0.01,0.0,0.0,0.17,0.02,0.02,0.35,0.15,0.03,0.14,0.33,0.0,0.0,0.5,0.17,0.5,0.0,0.62,0.0,normal
0.01,0.0,0.0,0.17,0.02,0.02,0.19,0.15,0.03,0.14,0.33,0.0,0.0,0.5,0.17,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.5,0.02,0.02,0.35,0.15,0.03,0.14,0.33,0.0,0.0,0.5,0.17,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.5,0.02,0.02,0.19,0.15,0.03,0.14,0.33,0.0,0.0,0.5,0.17,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.67,0.02,0.02,0.12,0.15,0.03,0.14,0.33,0.0,0.0,0.5,0.17,0.5,0.0,0.62,0.0,normal
0.04,0.0,0.0,0.5,0.02,0.02,0.35,0.15,0.03,0.14,0.33,0.0,0.0,0.5,0.17,0.5,0.0,0.62,0.0,normal
0.06,0.0,0.55,0.17,0.02,0.02,0.38,0.15,0.03,0.14,0.33,0.0,0.25,0.5,0.17,0.5,0.09,1.0,0.0,attack
0.03,0.0,0.0,0.67,0.02,0.02,0.04,0.15,0.03,0.14,0.33,0.0,0.0,0.5,0.17,0.5,0.0,0.62,0.0,normal
0.04,0.0,0.0,0.67,0.02,0.02,0.04,0.15,0.03,0.14,0.33,0.0,0.0,0.5,0.17,0.5,0.0,0.62,0.0,normal
0.08,0.0,0.55,0.17,0.02,0.02,0.42,0.15,0.03,0.14,0.33,0.0,0.25,0.5,0.17,0.5,0.09,1.0,0.0,attack
0.04,0.0,0.0,0.5,0.02,0.02,0.19,0.15,0.03,0.14,0.33,0.0,0.0,0.5,0.17,0.5,0.0,0.62,0.0,normal
0.1,0.0,0.55,0.17,0.02,0.02,0.46,0.15,0.03,0.14,0.33,0.0,0.25,0.5,0.17,0.5,0.09,1.0,0.0,attack
0.11,0.0,0.0,0.0,0.0,0.0,0.46,0.15,0.03,0.14,0.33,0.0,0.5,0.5,0.17,1.0,0.0,0.0,0.0,normal
0.13,0.0,0.55,0.67,0.02,0.02,0.46,0.15,0.03,0.14,0.33,0.0,0.25,0.5,0.17,0.5,0.09,0.0,0.0,normal
0.14,0.0,0.55,0.33,0.02,0.02,0.5,0.15,0.03,0.14,0.33,0.0,0.25,0.5,0.17,0.5,0.09,0.0,0.0,normal
0.17,0.0,0.55,0.83,0.02,0.02,0.46,0.15,0.03,0.14,0.33,0.0,0.25,0.5,0.17,0.5,0.0,0.0,0.0,normal
0.38,0.0,0.0,0.0,0.03,0.03,0.46,0.15,0.03,0.14,0.33,0.0,1.0,0.5,0.17,1.0,0.0,0.0,0.0,normal
0.87,0.0,0.0,0.0,0.01,0.01,0.23,0.15,0.03,0.14,0.33,0.0,1.0,0.5,0.17,1.0,0.0,0.0,0.0,normal
0.0,0.0,0.0,0.33,0.02,0.02,0.27,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.0,0.0,0.0,0.33,0.02,0.02,0.19,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.0,0.0,0.0,0.5,0.02,0.02,0.31,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.01,0.0,0.0,0.0,0.02,0.02,0.23,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.0,0.0,0.62,0.0,attack
0.0,0.0,0.0,0.17,0.02,0.02,0.12,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.0,0.0,0.0,0.17,0.02,0.02,0.42,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.0,0.0,0.0,0.5,0.02,0.02,0.35,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.01,0.0,0.0,0.67,0.02,0.02,0.42,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.01,0.0,0.0,0.67,0.02,0.02,0.12,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.01,0.0,0.0,0.17,0.02,0.02,0.08,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.01,0.0,0.0,0.17,0.02,0.02,0.35,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.01,0.01,0.0,0.33,0.02,0.02,0.31,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.33,0.02,0.02,0.31,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.17,0.02,0.02,0.04,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.5,0.02,0.02,0.08,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.04,0.0,0.0,0.33,0.02,0.02,0.04,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.5,0.02,0.02,0.35,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.01,0.0,0.0,0.17,0.02,0.02,0.15,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.04,0.0,0.0,0.33,0.02,0.02,0.31,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.67,0.02,0.02,0.42,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.04,0.0,0.0,0.5,0.02,0.02,0.08,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.06,0.0,0.55,0.17,0.02,0.02,0.46,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.09,1.0,0.0,attack
0.03,0.0,0.0,0.67,0.02,0.02,0.12,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.17,0.02,0.02,0.15,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.04,0.0,0.0,0.67,0.02,0.02,0.42,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.33,0.02,0.02,0.19,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.17,0.02,0.02,0.27,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.04,0.0,0.0,0.5,0.02,0.02,0.19,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.08,0.0,0.55,0.17,0.02,0.02,0.5,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.09,1.0,0.0,attack
0.04,0.0,0.0,0.5,0.02,0.02,0.35,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.1,0.0,0.55,0.17,0.02,0.02,0.54,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.09,1.0,0.0,attack
0.04,0.0,0.0,0.67,0.02,0.02,0.15,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.08,0.0,0.0,0.67,0.02,0.02,0.04,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.04,0.0,0.0,0.17,0.02,0.02,0.27,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.11,0.0,0.0,0.0,0.0,0.0,0.54,0.28,0.2,0.57,0.42,0.29,0.5,0.9,0.58,1.0,0.0,0.0,0.0,normal
0.06,0.0,0.0,0.5,0.02,0.02,0.27,0.28,0.2,0.57,0.42,0.29,0.0,0.9,0.58,0.5,0.0,0.62,0.0,normal
0.11,0.0,0.55,0.5,0.02,0.02,0.58,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.09,0.0,0.0,normal
0.13,0.0,0.55,0.67,0.02,0.02,0.54,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.09,0.0,0.0,normal
0.14,0.0,0.55,0.33,0.02,0.02,0.58,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.09,0.0,0.0,normal
0.15,0.0,0.55,0.5,0.02,0.02,0.62,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.09,0.0,0.0,normal
0.14,0.0,0.55,0.33,0.02,0.02,0.5,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.09,0.0,0.0,normal
0.17,0.0,0.55,0.5,0.02,0.02,0.65,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.09,0.0,0.0,normal
0.15,0.0,0.0,0.0,0.0,0.0,0.5,0.28,0.2,0.57,0.42,0.29,0.5,0.9,0.58,1.0,0.0,0.0,0.0,normal
0.17,0.0,0.0,0.0,0.0,0.0,0.69,0.28,0.2,0.57,0.42,0.29,0.5,0.9,0.58,1.0,0.0,0.0,0.0,normal
0.11,0.0,0.0,0.0,0.0,0.0,0.46,0.28,0.2,0.57,0.42,0.29,0.5,0.9,0.58,1.0,0.0,0.0,0.0,normal
0.18,0.0,0.55,0.33,0.02,0.02,0.69,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.09,0.0,0.0,normal
0.2,0.0,0.55,0.67,0.02,0.02,0.5,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.09,0.0,0.0,normal
0.13,0.0,0.55,0.33,0.02,0.02,0.73,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.09,0.0,0.0,normal
0.14,0.0,0.55,0.67,0.02,0.02,0.73,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.09,0.0,0.0,normal
0.11,0.0,0.55,0.33,0.02,0.02,0.77,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.09,0.0,0.0,normal
0.2,0.0,0.55,0.5,0.02,0.02,0.62,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.09,0.0,0.0,normal
0.13,0.0,0.55,0.67,0.02,0.02,0.77,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.09,0.0,0.0,normal
0.21,0.0,0.55,0.83,0.02,0.02,0.62,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.09,0.0,0.0,normal
0.14,0.0,0.0,0.0,0.0,0.0,0.81,0.28,0.2,0.57,0.42,0.29,0.5,0.9,0.58,1.0,0.0,0.0,0.0,normal
0.25,0.0,0.55,0.67,0.02,0.02,0.65,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.0,0.0,0.0,normal
0.17,0.0,0.55,0.83,0.02,0.02,0.73,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.0,0.0,0.0,normal
0.27,0.0,0.55,0.67,0.02,0.02,0.58,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.0,0.0,0.0,normal
0.17,0.0,0.55,0.83,0.02,0.02,0.54,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.0,0.0,0.0,normal
0.28,0.0,0.55,0.5,0.02,0.02,0.77,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.09,0.0,0.0,normal
0.18,0.0,0.55,0.67,0.02,0.02,0.81,0.28,0.2,0.57,0.42,0.29,0.25,0.9,0.58,0.5,0.09,0.0,0.0,normal
0.38,0.01,0.0,0.0,0.02,0.02,0.62,0.28,0.2,0.57,0.42,0.29,1.0,0.9,0.58,1.0,0.0,0.0,0.0,normal
0.45,0.01,0.0,0.0,0.02,0.02,0.62,0.28,0.2,0.57,0.42,0.29,1.0,0.9,0.58,1.0,0.0,0.0,0.0,normal
0.35,0.0,0.0,0.0,0.02,0.02,0.19,0.28,0.2,0.57,0.42,0.29,1.0,0.9,0.58,1.0,1.0,0.0,0.0,normal
0.48,0.01,0.0,0.0,0.01,0.01,0.62,0.28,0.2,0.57,0.42,0.29,1.0,0.9,0.58,1.0,0.0,0.0,0.0,normal
0.37,0.0,0.0,0.0,0.02,0.02,0.46,0.28,0.2,0.57,0.42,0.29,1.0,0.9,0.58,1.0,0.0,0.0,0.0,normal
0.38,0.0,0.0,0.0,0.03,0.03,0.54,0.28,0.2,0.57,0.42,0.29,1.0,0.9,0.58,1.0,0.0,0.0,0.0,normal
0.52,0.0,0.0,0.0,0.01,0.01,0.46,0.28,0.2,0.57,0.42,0.29,1.0,0.9,0.58,1.0,0.0,0.0,0.0,normal
0.01,0.0,0.0,0.0,0.02,0.02,0.31,0.15,0.0,0.14,0.62,0.0,0.0,0.6,0.33,0.0,0.0,0.62,0.0,attack
0.0,0.0,0.0,0.17,0.02,0.02,0.0,0.15,0.0,0.14,0.62,0.0,0.0,0.6,0.33,0.5,0.0,0.62,0.0,normal
0.0,0.0,0.0,0.17,0.02,0.02,0.04,0.15,0.0,0.14,0.62,0.0,0.0,0.6,0.33,0.5,0.0,0.62,0.0,normal
0.0,0.0,0.0,0.5,0.02,0.02,0.23,0.15,0.0,0.14,0.62,0.0,0.0,0.6,0.33,0.5,0.0,0.62,0.0,normal
0.01,0.0,0.0,0.67,0.02,0.02,0.04,0.15,0.0,0.14,0.62,0.0,0.0,0.6,0.33,0.5,0.0,0.62,0.0,normal
0.01,0.0,0.0,0.67,0.02,0.02,0.0,0.15,0.0,0.14,0.62,0.0,0.0,0.6,0.33,0.5,0.0,0.62,0.0,normal
0.01,0.0,0.0,0.17,0.02,0.02,0.23,0.15,0.0,0.14,0.62,0.0,0.0,0.6,0.33,0.5,0.0,0.62,0.0,normal
0.01,0.0,0.0,0.17,0.02,0.02,0.08,0.15,0.0,0.14,0.62,0.0,0.0,0.6,0.33,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.5,0.02,0.02,0.23,0.15,0.0,0.14,0.62,0.0,0.0,0.6,0.33,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.5,0.02,0.02,0.08,0.15,0.0,0.14,0.62,0.0,0.0,0.6,0.33,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.67,0.02,0.02,0.04,0.15,0.0,0.14,0.62,0.0,0.0,0.6,0.33,0.5,0.0,0.62,0.0,normal
0.04,0.0,0.0,0.5,0.02,0.02,0.23,0.15,0.0,0.14,0.62,0.0,0.0,0.6,0.33,0.5,0.0,0.62,0.0,normal
0.06,0.0,0.55,0.17,0.02,0.02,0.35,0.15,0.0,0.14,0.62,0.0,0.25,0.6,0.33,0.5,0.09,1.0,0.0,attack
0.03,0.0,0.0,0.67,0.02,0.02,0.0,0.15,0.0,0.14,0.62,0.0,0.0,0.6,0.33,0.5,0.0,0.62,0.0,normal
0.04,0.0,0.0,0.67,0.02,0.02,0.04,0.15,0.0,0.14,0.62,0.0,0.0,0.6,0.33,0.5,0.0,0.62,0.0,normal
0.08,0.0,0.55,0.17,0.02,0.02,0.38,0.15,0.0,0.14,0.62,0.0,0.25,0.6,0.33,0.5,0.09,1.0,0.0,attack
0.04,0.0,0.0,0.5,0.02,0.02,0.08,0.15,0.0,0.14,0.62,0.0,0.0,0.6,0.33,0.5,0.0,0.62,0.0,normal
0.1,0.0,0.55,0.17,0.02,0.02,0.42,0.15,0.0,0.14,0.62,0.0,0.25,0.6,0.33,0.5,0.09,1.0,0.0,attack
0.11,0.0,0.0,0.0,0.0,0.0,0.42,0.15,0.0,0.14,0.62,0.0,0.5,0.6,0.33,1.0,0.0,0.0,0.0,normal
0.13,0.0,0.55,0.67,0.02,0.02,0.42,0.15,0.0,0.14,0.62,0.0,0.25,0.6,0.33,0.5,0.09,0.0,0.0,normal
0.14,0.0,0.55,0.33,0.02,0.02,0.46,0.15,0.0,0.14,0.62,0.0,0.25,0.6,0.33,0.5,0.09,0.0,0.0,normal
0.17,0.0,0.55,0.83,0.02,0.02,0.42,0.15,0.0,0.14,0.62,0.0,0.25,0.6,0.33,0.5,0.0,0.0,0.0,normal
0.37,0.0,0.0,0.0,0.02,0.02,0.35,0.15,0.0,0.14,0.62,0.0,1.0,0.6,0.33,1.0,0.0,0.0,0.0,normal
0.38,0.0,0.0,0.0,0.03,0.03,0.42,0.15,0.0,0.14,0.62,0.0,1.0,0.6,0.33,1.0,0.0,0.0,0.0,normal
0.52,0.01,0.0,0.0,0.01,0.01,0.35,0.15,0.0,0.14,0.62,0.0,1.0,0.6,0.33,1.0,0.0,0.0,0.0,normal
0.87,0.0,0.0,0.0,0.01,0.01,0.12,0.15,0.0,0.14,0.62,0.0,1.0,0.6,0.33,1.0,0.0,0.0,0.0,normal
0.0,0.96,0.0,0.67,0.02,0.02,0.27,0.24,0.6,0.71,0.68,0.43,0.0,0.3,0.58,0.5,0.0,0.62,0.0,normal
0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.24,0.6,0.71,0.68,0.43,0.0,0.3,0.58,0.0,0.0,0.62,0.0,attack
0.01,0.0,0.0,0.17,0.02,0.02,0.27,0.24,0.6,0.71,0.68,0.43,0.0,0.3,0.58,0.5,0.0,0.62,0.0,normal
0.0,0.0,0.0,0.83,0.02,0.02,0.19,0.24,0.6,0.71,0.68,0.43,0.0,0.3,0.58,0.5,0.0,0.62,0.0,normal
0.04,0.0,0.0,0.5,0.02,0.02,0.27,0.24,0.6,0.71,0.68,0.43,0.0,0.3,0.58,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.55,0.17,0.02,0.02,0.31,0.24,0.6,0.71,0.68,0.43,0.25,0.3,0.58,0.5,0.09,1.0,0.0,attack
0.01,0.0,0.0,0.17,0.02,0.02,0.19,0.24,0.6,0.71,0.68,0.43,0.0,0.3,0.58,0.5,0.0,0.62,0.0,normal
0.03,0.0,1.0,0.33,0.02,0.02,0.35,0.24,0.6,0.71,0.68,0.43,0.25,0.3,0.58,0.5,0.0,0.0,0.0,normal
0.07,0.0,0.0,0.5,0.02,0.02,0.27,0.24,0.6,0.71,0.68,0.43,0.0,0.3,0.58,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.67,0.02,0.02,0.19,0.24,0.6,0.71,0.68,0.43,0.0,0.3,0.58,0.5,0.0,0.62,0.0,normal
0.07,0.0,0.96,0.83,0.02,0.02,0.35,0.24,0.6,0.71,0.68,0.43,0.25,0.3,0.58,0.5,0.0,0.0,0.0,normal
0.1,0.0,0.55,0.33,0.02,0.02,0.38,0.24,0.6,0.71,0.68,0.43,0.25,0.3,0.58,0.5,0.09,0.0,0.0,normal
0.04,0.0,0.55,0.17,0.02,0.02,0.31,0.24,0.6,0.71,0.68,0.43,0.25,0.3,0.58,0.5,0.09,1.0,0.0,attack
0.04,0.0,0.0,0.67,0.02,0.02,0.19,0.24,0.6,0.71,0.68,0.43,0.0,0.3,0.58,0.5,0.0,0.62,0.0,normal
0.08,0.0,0.96,0.83,0.02,0.02,0.35,0.24,0.6,0.71,0.68,0.43,0.25,0.3,0.58,0.5,0.0,0.0,0.0,normal
0.13,0.0,0.0,0.0,0.0,0.0,0.31,0.24,0.6,0.71,0.68,0.43,0.5,0.3,0.58,1.0,0.0,0.0,0.0,normal
0.08,0.0,0.55,0.17,0.02,0.02,0.31,0.24,0.6,0.71,0.68,0.43,0.25,0.3,0.58,0.5,0.09,1.0,0.0,attack
0.14,0.0,0.0,0.0,0.0,0.0,0.31,0.24,0.6,0.71,0.68,0.43,0.5,0.3,0.58,1.0,0.0,0.0,0.0,normal
0.15,0.0,0.0,0.0,0.0,0.0,0.31,0.24,0.6,0.71,0.68,0.43,0.5,0.3,0.58,1.0,0.0,0.0,0.0,normal
0.17,0.0,0.55,0.33,0.02,0.02,0.38,0.24,0.6,0.71,0.68,0.43,0.25,0.3,0.58,0.5,0.09,0.0,0.0,normal
0.2,0.0,0.55,0.67,0.02,0.02,0.31,0.24,0.6,0.71,0.68,0.43,0.25,0.3,0.58,0.5,0.09,0.0,0.0,normal
0.21,0.0,0.55,0.67,0.02,0.02,0.31,0.24,0.6,0.71,0.68,0.43,0.25,0.3,0.58,0.5,0.09,0.0,0.0,normal
0.23,0.0,0.55,1.0,0.02,0.02,0.31,0.24,0.6,0.71,0.68,0.43,0.25,0.3,0.58,0.5,0.09,0.0,0.0,normal
0.11,0.0,0.55,0.17,0.02,0.02,0.42,0.24,0.6,0.71,0.68,0.43,0.25,0.3,0.58,0.5,0.0,1.0,0.0,normal
0.13,0.0,0.55,0.17,0.02,0.02,0.42,0.24,0.6,0.71,0.68,0.43,0.25,0.3,0.58,0.5,0.0,1.0,0.0,normal
0.14,0.0,0.55,0.17,0.02,0.02,0.42,0.24,0.6,0.71,0.68,0.43,0.25,0.3,0.58,0.5,0.0,1.0,0.0,normal
0.1,0.0,0.55,0.33,0.02,0.02,0.46,0.24,0.6,0.71,0.68,0.43,0.25,0.3,0.58,0.5,0.0,0.0,0.0,normal
0.13,0.0,0.55,0.33,0.02,0.02,0.5,0.24,0.6,0.71,0.68,0.43,0.25,0.3,0.58,0.5,0.0,0.0,0.0,normal
0.27,0.0,0.55,0.5,0.02,0.02,0.38,0.24,0.6,0.71,0.68,0.43,0.25,0.3,0.58,0.5,0.0,0.0,0.0,normal
0.14,0.0,0.55,0.33,0.02,0.02,0.5,0.24,0.6,0.71,0.68,0.43,0.25,0.3,0.58,0.5,0.0,0.0,0.0,normal
0.28,0.0,0.55,0.5,0.02,0.02,0.38,0.24,0.6,0.71,0.68,0.43,0.25,0.3,0.58,0.5,0.0,0.0,0.0,normal
0.15,0.0,0.0,0.0,0.0,0.0,0.42,0.24,0.6,0.71,0.68,0.43,0.5,0.3,0.58,1.0,0.0,0.0,0.0,normal
0.17,0.0,0.0,0.0,0.0,0.0,0.42,0.24,0.6,0.71,0.68,0.43,0.5,0.3,0.58,1.0,0.0,0.0,0.0,normal
0.18,0.0,0.0,0.0,0.0,0.0,0.42,0.24,0.6,0.71,0.68,0.43,0.5,0.3,0.58,1.0,0.0,0.0,0.0,normal
0.38,0.0,0.0,0.0,0.01,0.01,0.31,0.24,0.6,0.71,0.68,0.43,1.0,0.3,0.58,1.0,0.0,0.0,0.0,normal
0.28,0.04,0.0,0.0,0.01,0.01,0.42,0.24,0.6,0.71,0.68,0.43,1.0,0.3,0.58,1.0,0.0,0.0,0.0,normal
0.31,0.0,0.0,0.0,0.01,0.01,0.19,0.24,0.6,0.71,0.68,0.43,1.0,0.3,0.58,1.0,0.0,0.0,0.0,normal
0.35,0.0,0.0,0.0,0.03,0.03,0.42,0.24,0.6,0.71,0.68,0.43,1.0,0.3,0.58,1.0,0.0,0.0,0.0,normal
0.87,0.01,0.0,0.0,0.01,0.01,0.31,0.24,0.6,0.71,0.68,0.43,1.0,0.3,0.58,1.0,0.0,0.0,0.0,normal
1.0,0.01,0.0,0.0,0.01,0.01,0.31,0.24,0.6,0.71,0.68,0.43,1.0,0.3,0.58,1.0,0.0,0.0,0.0,normal
0.87,0.0,0.0,0.0,0.01,0.01,0.19,0.24,0.6,0.71,0.68,0.43,1.0,0.3,0.58,1.0,0.0,0.0,0.0,normal
0.01,0.0,0.94,1.0,0.02,0.02,0.12,0.62,0.17,0.0,0.0,0.86,0.25,0.0,0.0,0.5,0.0,0.0,0.0,normal
0.03,0.0,1.0,0.33,0.02,0.02,0.12,0.62,0.17,0.0,0.0,0.86,0.25,0.0,0.0,0.5,0.0,0.0,0.0,normal
0.07,0.0,0.96,0.83,0.02,0.02,0.12,0.62,0.17,0.0,0.0,0.86,0.25,0.0,0.0,0.5,0.0,0.0,0.0,normal
0.08,0.01,0.96,0.83,0.02,0.02,0.12,0.62,0.17,0.0,0.0,0.86,0.25,0.0,0.0,0.5,0.0,0.0,0.0,normal
0.11,0.0,0.55,0.17,0.02,0.02,0.15,0.62,0.17,0.0,0.0,0.86,0.25,0.0,0.0,0.5,0.0,1.0,0.0,normal
0.13,0.0,0.55,0.17,0.02,0.02,0.15,0.62,0.17,0.0,0.0,0.86,0.25,0.0,0.0,0.5,0.0,1.0,0.0,normal
0.14,0.0,0.55,0.17,0.02,0.02,0.15,0.62,0.17,0.0,0.0,0.86,0.25,0.0,0.0,0.5,0.0,1.0,0.0,normal
